expected_speed,predicted_speed,angle,error
31.78,31.257500000000004,-0.552,11
31.560000000000002,30.955000000000002,-0.552,11
31.46,31.6625,0.0,5
31.24,30.9,-1.104,11
31.02,30.9,-0.552,11
31.02,30.9,-0.552,11
31.02,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.919999999999998,30.967499999999994,-0.552,10
30.919999999999998,30.9,-0.552,11
31.080000000000002,31.46000000000002,0.0,3
31.080000000000002,30.902500000000003,-1.6560000000000001,11
31.080000000000002,30.902500000000003,-0.552,11
31.059999999999995,30.9,-0.552,11
31.059999999999995,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.98,31.16999999999998,0.0,7
30.98,30.9,-1.104,11
30.98,30.9,-0.552,11
30.979999999999997,30.9,-0.552,11
30.98,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
30.9,30.9,-0.552,11
31.119999999999997,31.642500000000002,0.552,0
31.140000000000004,30.967499999999994,-1.104,10
31.160000000000004,30.994999999999997,-0.552,10
31.2,31.067499999999995,-0.552,9
31.26,31.162500000000016,-0.552,8
31.119999999999997,31.26249999999998,-0.552,7
31.2,31.3625,0.0,6
31.3,31.4625,0.0,5
31.439999999999998,31.69749999999998,0.0,-2
31.580000000000002,31.8525,0.0,-1
31.6,31.412500000000005,0.552,-6
31.6,31.40500000000001,0.0,-6
31.5,31.130000000000003,0.552,-10
31.3,30.884999999999984,1.104,-12
30.96,30.405000000000012,1.6560000000000001,-18
30.68,30.09500000000001,1.6560000000000001,-20
30.339999999999996,29.807500000000015,2.208,-23
30.060000000000002,29.6475,1.6560000000000001,-24
29.68,29.1325,22.08,-31
29.360000000000003,28.732499999999998,22.08,-34
29.059999999999995,28.547500000000003,22.08,-35
28.9,28.892499999999995,2.208,-31
28.540000000000003,28.039999999999985,22.08,-42
28.28,27.702499999999997,22.08,-44
28.060000000000002,27.542500000000008,22.08,-45
27.859999999999996,27.505000000000003,22.08,-45
27.720000000000006,28.045000000000016,2.208,-38
27.76,28.035000000000004,22.08,-40
27.76,27.567500000000006,22.08,-44
27.880000000000003,28.12750000000001,22.08,-39
27.919999999999998,27.71750000000002,22.08,-43
27.8,27.610000000000007,22.08,-44
27.8,28.0225,22.08,-40
27.940000000000005,28.222499999999986,22.08,-37
28.02,28.419999999999995,22.08,-35
28.18,28.49,22.08,-35
28.619999999999997,29.377499999999987,1.104,-22
29.140000000000004,30.274999999999995,0.552,-14
29.6,30.559999999999995,1.104,-14
30.079999999999995,30.802500000000002,0.552,-11
30.619999999999997,31.087500000000016,0.0,-8
30.9,31.185000000000024,0.552,-8
30.959999999999997,30.907500000000006,1.104,-11
31.0,30.832499999999982,1.104,-12
30.96,30.73750000000001,1.104,-13
30.859999999999996,30.705000000000023,1.104,-13
30.74,30.632500000000004,1.104,-14
30.7,30.700000000000024,0.552,-13
30.6,30.40999999999999,1.6560000000000001,-17
30.559999999999995,30.535000000000004,1.104,-15
30.419999999999998,30.122500000000002,1.6560000000000001,-20
30.339999999999996,30.23750000000001,1.104,-18
30.2,30.025000000000006,1.6560000000000001,-20
30.1,29.869999999999983,1.6560000000000001,-22
29.96,29.80999999999998,1.6560000000000001,-22
29.939999999999998,29.9275,1.6560000000000001,-21
29.839999999999996,29.73250000000001,1.6560000000000001,-23
29.8,29.799999999999976,1.6560000000000001,-22
29.720000000000006,29.509999999999998,2.208,-26
29.639999999999997,29.417499999999997,2.208,-26
29.52,29.332499999999982,2.208,-27
29.420000000000005,29.23750000000001,2.208,-28
29.32,29.312499999999982,2.208,-27
29.26,29.145,2.208,-29
29.26,29.365,1.6560000000000001,-26
29.28,29.392500000000002,2.208,-26
29.32,29.4,2.208,-26
29.32,29.332499999999982,2.208,-27
29.380000000000003,29.4,2.208,-26
29.380000000000003,29.4,2.208,-26
29.379999999999995,29.4,2.208,-26
29.4,29.467499999999994,1.6560000000000001,-25
29.419999999999998,29.4,2.208,-26
29.440000000000005,29.4875,1.6560000000000001,-25
29.48,29.564999999999998,1.6560000000000001,-24
29.48,29.402499999999996,2.208,-26
29.48,29.502499999999998,1.6560000000000001,-25
29.559999999999995,29.732499999999987,1.104,-22
29.559999999999995,29.5075,2.208,-25
29.54,29.497500000000002,2.208,-25
29.579999999999995,29.567500000000003,1.6560000000000001,-24
29.619999999999997,29.707500000000017,1.6560000000000001,-23
29.660000000000004,29.8975,1.104,-20
29.7,29.687500000000018,2.208,-23
29.8,29.962500000000006,1.104,-20
29.859999999999996,29.925,1.6560000000000001,-21
29.96,30.132500000000014,1.104,-18
30.04,30.32250000000001,1.104,-16
30.160000000000004,30.32249999999998,1.104,-17
30.259999999999998,30.45499999999999,1.104,-15
30.4,30.559999999999995,1.104,-14
30.54,30.797500000000003,0.552,-11
30.660000000000004,30.952499999999997,0.552,-10
30.839999999999996,31.130000000000017,0.0,-8
31.080000000000002,31.52750000000002,0.0,-3
31.3,31.675000000000022,-0.552,3
31.520000000000003,31.902500000000003,0.0,0
31.6,31.397500000000008,-0.552,6
31.6,31.28000000000002,-0.552,8
